"","Date_Time","Well1","Well2","Well3","Well4","Well5","Well6","Well7","Well8"
"1","2016-09-01",325.585277777778,325.488969072165,325.987291666667,325.326770833333,325.577395833333,325.566145833333,324.977013888889,325.394555555556
"2","2016-09-02",325.579438596491,325.493192982456,325.98550877193,325.322877192982,325.572350877193,325.563228070175,324.972070175439,325.390964912281
"3","2016-09-03",325.576875,325.488819444444,325.981458333333,325.319895833333,325.568368055556,325.557465277778,324.973368055556,325.388930555556
"4","2016-09-04",325.575902777778,325.483229166667,325.977465277778,325.318854166667,325.566388888889,325.554930555556,324.972256944444,325.384763888889
"5","2016-09-05",325.572534722222,325.474131944444,325.974270833333,325.317256944444,325.5625,325.548854166667,324.970486111111,325.382055555556
"6","2016-09-06",325.568229166667,325.467794117647,325.971527777778,325.315659722222,325.557881944444,325.545486111111,324.967708333333,325.379729166667
"7","2016-09-07",325.568298611111,325.468012820513,325.970555555556,325.313923611111,325.556736111111,325.540381944444,324.965416666667,325.379173611111
"8","2016-09-08",325.569548611111,325.467013888889,325.969861111111,325.310173611111,325.558472222222,325.5390625,324.96,325.379347222222
"9","2016-09-09",325.566701388889,325.465,325.970034722222,325.311736111111,325.557604166667,325.537013888889,324.96,325.379347222222
"10","2016-09-10",325.563680555556,325.453098591549,325.965138888889,325.308229166667,325.552291666667,325.5325,324.958090277778,325.372993055556
"11","2016-09-11",325.558993055556,325.454380952381,325.963784722222,325.306666666667,325.544375,325.521597222222,324.956909722222,325.3715
"12","2016-09-12",325.556678571429,325.446680327869,325.959016393443,325.304139344262,325.530573770492,325.505040983607,324.954713114754,325.365721311475
"13","2016-09-13",325.567169117647,325.466323529412,325.969304029304,325.313003663004,325.548424908425,325.514725274725,324.959120879121,325.376435897436
"14","2016-09-14",325.572951388889,325.47,325.976631944444,325.32,325.566180555556,325.5390625,324.961736111111,325.385527777778
"15","2016-09-15",325.568402777778,325.461805555556,325.974236111111,325.317361111111,325.566111111111,325.537118055556,324.96,325.383930555556
"16","2016-09-16",325.569965277778,325.468771929825,325.970069444444,325.317986111111,325.559861111111,325.530138888889,324.9603125,325.38025
"17","2016-09-17",325.56625,325.47,325.967256944444,325.3159375,325.558020833333,325.527326388889,324.957777777778,325.376638888889
"18","2016-09-18",325.558035087719,NA,325.961964912281,325.307438596491,325.554526315789,325.51750877193,324.95,325.373140350877
"19","2016-09-19",325.556076388889,NA,325.957013888889,325.304270833333,325.548055555556,325.511840277778,324.9475,325.369486111111
"20","2016-09-20",325.550729166667,NA,325.952777777778,325.298159722222,325.545520833333,325.507222222222,324.940451388889,325.365493055556
"21","2016-09-21",325.548194444444,NA,325.950138888889,325.296979166667,325.543645833333,325.503229166667,324.938298611111,325.363513888889
"22","2016-09-22",325.546527777778,NA,325.947013888889,325.295104166667,325.542048611111,325.497083333333,324.936354166667,325.362090277778
"23","2016-09-23",325.541388888889,NA,325.944583333333,325.288333333333,325.536666666667,325.491631944444,324.928645833333,325.359763888889
"24","2016-09-24",325.585846153846,325.490654205607,325.9785,325.339038461538,325.566038461538,325.572884615385,324.968461538462,325.387769230769
"25","2016-09-25",325.593209302326,325.51,326.002186046512,325.34,325.593255813953,325.60088372093,324.944279069767,325.39988372093
"26","2016-09-26",325.576631944444,325.503519553073,325.991805555556,325.323784722222,325.579201388889,325.569409722222,324.937534722222,325.386986111111
"27","2016-09-27",325.568159722222,325.500555555556,325.986215277778,325.316944444444,325.576631944444,325.556493055556,324.935972222222,325.385388888889
"28","2016-09-28",325.564861111111,325.4875,325.976597222222,325.310173611111,325.567847222222,325.545798611111,324.935451388889,325.377298611111
"29","2016-09-29",325.5596875,325.478262910798,325.97,325.31,325.565451388889,325.536354166667,324.938194444444,325.376951388889
"30","2016-09-30",325.556864111498,325.476235741445,325.968426573427,325.308919860627,325.565156794425,325.529965156794,324.936898954704,325.376595818815
"31","2016-10-01",325.555070921986,325.475361445783,325.967346938776,325.306816326531,325.560653061225,325.526857142857,324.934489795918,325.375516393443
"32","2016-10-02",325.549965277778,325.468022813688,325.966041666667,325.3040625,325.558402777778,325.520798611111,324.93,325.374416666667
"33","2016-10-03",325.549965277778,325.467476190476,325.964340277778,325.300208333333,325.557847222222,325.517986111111,324.930381944444,325.373027777778
"34","2016-10-04",325.550104166667,325.474819277108,325.966944444444,325.300451388889,325.559583333333,325.519965277778,324.933715277778,325.375493055556
"35","2016-10-05",325.564097222222,NA,325.970104529617,325.3106271777,325.566968641115,325.535909090909,324.934808362369,325.378230769231
"36","2016-10-06",325.56,NA,325.970069444444,325.309409722222,325.566666666667,325.528472222222,324.933368055556,325.379
"37","2016-10-07",325.559930555556,NA,325.969965277778,325.309826388889,325.567604166667,325.526423611111,324.9365625,325.379
"38","2016-10-08",325.556527777778,NA,325.967569444444,325.307291666667,325.566041666667,325.519930555556,324.892916666667,325.371395833333
"39","2016-10-09",325.553854166667,NA,325.967291666667,325.305277777778,325.561701388889,325.518125,324.924305555556,325.3605625
"40","2016-10-10",325.556392857143,NA,325.970860655738,325.309836065574,325.568073770492,325.520532786885,324.942213114754,325.380399176955
"41","2016-10-11",325.557048611111,NA,325.97,325.308541666667,325.567881944444,325.523506944444,324.94,325.377229166667
"42","2016-10-12",325.557395833333,NA,325.97,325.309826388889,325.566180555556,325.519895833333,324.94,325.379
"43","2016-10-13",325.557222222222,NA,325.97,325.309930555556,325.568611111111,325.52,324.94,325.379
"44","2016-10-14",325.559791666667,NA,325.970763888889,325.31,325.5634375,325.52,324.94,325.379
