startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,gWatSCondFinalQF
"2018-12-05T20:55:00Z","2018-12-05T21:00:00Z",674.80,0.65,
"2018-12-05T21:00:00Z","2018-12-05T21:05:00Z",676.55,0.65,
"2018-12-05T21:05:00Z","2018-12-05T21:10:00Z",676.59,0.65,
"2018-12-05T21:20:00Z","2018-12-05T21:25:00Z",676.69,0.65,
"2018-12-05T21:25:00Z","2018-12-05T21:30:00Z",677.02,0.65,
"2018-12-05T21:30:00Z","2018-12-05T21:35:00Z",677.31,0.65,
"2018-12-05T21:35:00Z","2018-12-05T21:40:00Z",677.62,0.65,
"2018-12-05T21:40:00Z","2018-12-05T21:45:00Z",677.82,0.65,
"2018-12-05T21:45:00Z","2018-12-05T21:50:00Z",677.89,0.65,
"2018-12-05T21:50:00Z","2018-12-05T21:55:00Z",677.91,0.65,
"2018-12-05T21:55:00Z","2018-12-05T22:00:00Z",677.94,0.65,
"2018-12-05T22:00:00Z","2018-12-05T22:05:00Z",678.05,0.65,
"2018-12-05T22:05:00Z","2018-12-05T22:10:00Z",678.03,0.65,
"2018-12-05T22:10:00Z","2018-12-05T22:15:00Z",678.07,0.65,
"2018-12-05T22:15:00Z","2018-12-05T22:20:00Z",677.97,0.65,
"2018-12-05T22:20:00Z","2018-12-05T22:25:00Z",678.07,0.65,
"2018-12-05T22:25:00Z","2018-12-05T22:30:00Z",678.21,0.65,
"2018-12-05T22:30:00Z","2018-12-05T22:35:00Z",678.34,0.65,
"2018-12-05T22:35:00Z","2018-12-05T22:40:00Z",678.25,0.65,
"2018-12-05T22:40:00Z","2018-12-05T22:45:00Z",678.03,0.65,
"2018-12-05T22:45:00Z","2018-12-05T22:50:00Z",678.54,0.65,
"2018-12-05T22:50:00Z","2018-12-05T22:55:00Z",678.63,0.65,
"2018-12-05T22:55:00Z","2018-12-05T23:00:00Z",678.57,0.65,
"2018-12-05T23:00:00Z","2018-12-05T23:05:00Z",678.60,0.65,
"2018-12-05T23:05:00Z","2018-12-05T23:10:00Z",679.19,0.65,
"2018-12-05T23:10:00Z","2018-12-05T23:15:00Z",678.82,0.65,
"2018-12-05T23:15:00Z","2018-12-05T23:20:00Z",678.88,0.65,
"2018-12-05T23:20:00Z","2018-12-05T23:25:00Z",679.42,0.66,
"2018-12-05T23:25:00Z","2018-12-05T23:30:00Z",679.28,0.65,
"2018-12-05T23:30:00Z","2018-12-05T23:35:00Z",679.16,0.65,
"2018-12-05T23:35:00Z","2018-12-05T23:40:00Z",679.11,0.65,
"2018-12-05T23:40:00Z","2018-12-05T23:45:00Z",679.24,0.65,
