startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,gWatSCondFinalQF
"2018-02-01T00:00:00Z","2018-02-01T00:05:00Z",649.74,0.59,
"2018-02-01T00:05:00Z","2018-02-01T00:10:00Z",649.79,0.59,
"2018-02-01T00:10:00Z","2018-02-01T00:15:00Z",649.88,0.59,
"2018-02-01T00:15:00Z","2018-02-01T00:20:00Z",649.88,0.59,
"2018-02-01T00:20:00Z","2018-02-01T00:25:00Z",649.80,0.59,
"2018-02-01T00:25:00Z","2018-02-01T00:30:00Z",649.85,0.59,
"2018-02-01T00:30:00Z","2018-02-01T00:35:00Z",649.89,0.59,
"2018-02-01T00:35:00Z","2018-02-01T00:40:00Z",649.89,0.59,
"2018-02-01T00:40:00Z","2018-02-01T00:45:00Z",649.83,0.59,
"2018-02-01T00:45:00Z","2018-02-01T00:50:00Z",649.86,0.59,
"2018-02-01T00:50:00Z","2018-02-01T00:55:00Z",649.79,0.59,
"2018-02-01T00:55:00Z","2018-02-01T01:00:00Z",649.86,0.59,
"2018-02-01T01:00:00Z","2018-02-01T01:05:00Z",649.79,0.59,
"2018-02-01T01:05:00Z","2018-02-01T01:10:00Z",649.80,0.59,
"2018-02-01T01:10:00Z","2018-02-01T01:15:00Z",649.85,0.59,
"2018-02-01T01:15:00Z","2018-02-01T01:20:00Z",649.82,0.59,
"2018-02-01T01:20:00Z","2018-02-01T01:25:00Z",649.92,0.59,
"2018-02-01T01:25:00Z","2018-02-01T01:30:00Z",649.87,0.59,
"2018-02-01T01:30:00Z","2018-02-01T01:35:00Z",649.94,0.59,
"2018-02-01T01:35:00Z","2018-02-01T01:40:00Z",649.89,0.59,
"2018-02-01T01:40:00Z","2018-02-01T01:45:00Z",649.81,0.59,
"2018-02-01T01:45:00Z","2018-02-01T01:50:00Z",649.90,0.59,
"2018-02-01T01:50:00Z","2018-02-01T01:55:00Z",649.94,0.59,
"2018-02-01T01:55:00Z","2018-02-01T02:00:00Z",649.95,0.59,
"2018-02-01T02:00:00Z","2018-02-01T02:05:00Z",649.88,0.59,
"2018-02-01T02:05:00Z","2018-02-01T02:10:00Z",649.82,0.59,
"2018-02-01T02:10:00Z","2018-02-01T02:15:00Z",649.98,0.59,
"2018-02-01T02:15:00Z","2018-02-01T02:20:00Z",649.88,0.59,
"2018-02-01T02:20:00Z","2018-02-01T02:25:00Z",649.95,0.59,
"2018-02-01T02:25:00Z","2018-02-01T02:30:00Z",649.89,0.59,
"2018-02-01T02:30:00Z","2018-02-01T02:35:00Z",649.94,0.59,
"2018-02-01T02:35:00Z","2018-02-01T02:40:00Z",649.89,0.59,
"2018-02-01T02:40:00Z","2018-02-01T02:45:00Z",649.90,0.59,
"2018-02-01T02:45:00Z","2018-02-01T02:50:00Z",649.89,0.59,
"2018-02-01T02:50:00Z","2018-02-01T02:55:00Z",650.01,0.59,
"2018-02-01T02:55:00Z","2018-02-01T03:00:00Z",649.91,0.59,
"2018-02-01T03:00:00Z","2018-02-01T03:05:00Z",650.02,0.59,
"2018-02-01T03:05:00Z","2018-02-01T03:10:00Z",649.94,0.59,
"2018-02-01T03:10:00Z","2018-02-01T03:15:00Z",650.01,0.59,
"2018-02-01T03:15:00Z","2018-02-01T03:20:00Z",649.90,0.59,
"2018-02-01T03:20:00Z","2018-02-01T03:25:00Z",649.99,0.59,
"2018-02-01T03:25:00Z","2018-02-01T03:30:00Z",650.01,0.59,
"2018-02-01T03:30:00Z","2018-02-01T03:35:00Z",649.99,0.59,
"2018-02-01T03:35:00Z","2018-02-01T03:40:00Z",649.91,0.59,
"2018-02-01T03:40:00Z","2018-02-01T03:45:00Z",650.02,0.59,
"2018-02-01T03:45:00Z","2018-02-01T03:50:00Z",650.02,0.59,
