startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,groundwaterSpecCondRangeQF,groundwaterSpecCondPersistQF,groundwaterSpecCondStepQF,groundwaterSpecCondNullQF,groundwaterSpecCondGapQF,groundwaterSpecCondSpikeQF,validCalQF
"2017-06-01T00:00:00Z","2017-06-01T00:05:00Z",743.37,0.74,0,0,0,0,0,0,
"2017-06-01T00:05:00Z","2017-06-01T00:10:00Z",743.20,0.74,0,0,0,0,0,0,
"2017-06-01T00:10:00Z","2017-06-01T00:15:00Z",743.08,0.74,0,0,0,0,0,0,
"2017-06-01T00:15:00Z","2017-06-01T00:20:00Z",742.99,0.74,0,0,0,0,0,0,
"2017-06-01T00:20:00Z","2017-06-01T00:25:00Z",742.82,0.74,0,0,0,0,0,0,
"2017-06-01T00:25:00Z","2017-06-01T00:30:00Z",742.99,0.74,0,0,0,0,0,0,
"2017-06-01T00:30:00Z","2017-06-01T00:35:00Z",742.90,0.74,0,0,0,0,0,0,
"2017-06-01T00:35:00Z","2017-06-01T00:40:00Z",742.90,0.74,0,0,0,0,0,0,
"2017-06-01T00:40:00Z","2017-06-01T00:45:00Z",742.89,0.74,0,0,0,0,0,0,
"2017-06-01T00:45:00Z","2017-06-01T00:50:00Z",742.94,0.74,0,0,0,0,0,0,
"2017-06-01T00:50:00Z","2017-06-01T00:55:00Z",742.83,0.74,0,0,0,0,0,0,
"2017-06-01T00:55:00Z","2017-06-01T01:00:00Z",742.79,0.74,0,0,0,0,0,0,
"2017-06-01T01:00:00Z","2017-06-01T01:05:00Z",742.74,0.74,0,0,0,0,0,0,
"2017-06-01T01:05:00Z","2017-06-01T01:10:00Z",742.71,0.74,0,0,0,0,0,0,
"2017-06-01T01:10:00Z","2017-06-01T01:15:00Z",742.76,0.74,0,0,0,0,0,0,
"2017-06-01T01:15:00Z","2017-06-01T01:20:00Z",742.80,0.74,0,0,0,0,0,0,
"2017-06-01T01:20:00Z","2017-06-01T01:25:00Z",742.79,0.74,0,0,0,0,0,0,
"2017-06-01T01:25:00Z","2017-06-01T01:30:00Z",742.85,0.74,0,0,0,0,0,0,
"2017-06-01T01:30:00Z","2017-06-01T01:35:00Z",742.93,0.74,0,0,0,0,0,0,
"2017-06-01T01:35:00Z","2017-06-01T01:40:00Z",742.93,0.74,0,0,0,0,0,0,
"2017-06-01T01:40:00Z","2017-06-01T01:45:00Z",742.97,0.74,0,0,0,0,0,0,
"2017-06-01T01:45:00Z","2017-06-01T01:50:00Z",742.95,0.74,0,0,0,0,0,0,
"2017-06-01T01:50:00Z","2017-06-01T01:55:00Z",742.94,0.74,0,0,0,0,0,0,
"2017-06-01T01:55:00Z","2017-06-01T02:00:00Z",742.95,0.74,0,0,0,0,0,0,
"2017-06-01T02:00:00Z","2017-06-01T02:05:00Z",742.94,0.74,0,0,0,0,0,0,
"2017-06-01T02:05:00Z","2017-06-01T02:10:00Z",742.84,0.74,0,0,0,0,0,0,
"2017-06-01T02:10:00Z","2017-06-01T02:15:00Z",742.93,0.74,0,0,0,0,0,0,
"2017-06-01T02:15:00Z","2017-06-01T02:20:00Z",742.94,0.74,0,0,0,0,0,0,
"2017-06-01T02:20:00Z","2017-06-01T02:25:00Z",743.00,0.74,0,0,0,0,0,0,
"2017-06-01T02:25:00Z","2017-06-01T02:30:00Z",743.13,0.74,0,0,0,0,0,0,
"2017-06-01T02:30:00Z","2017-06-01T02:35:00Z",743.03,0.74,0,0,0,0,0,0,
"2017-06-01T02:35:00Z","2017-06-01T02:40:00Z",742.99,0.74,0,0,0,0,0,0,
"2017-06-01T02:40:00Z","2017-06-01T02:45:00Z",742.75,0.74,0,0,0,0,0,0,
"2017-06-01T02:45:00Z","2017-06-01T02:50:00Z",742.56,0.74,0,0,0,0,0,0,
"2017-06-01T02:50:00Z","2017-06-01T02:55:00Z",742.46,0.74,0,0,0,0,0,0,
"2017-06-01T02:55:00Z","2017-06-01T03:00:00Z",742.36,0.74,0,0,0,0,0,0,
