startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,groundwaterSpecCondRangeQF,groundwaterSpecCondPersistQF,groundwaterSpecCondStepQF,groundwaterSpecCondNullQF,groundwaterSpecCondGapQF,groundwaterSpecCondSpikeQF,validCalQF
"2017-05-01T00:00:00Z","2017-05-01T00:05:00Z",600.54,0.69,0,0,0,0,0,0,
"2017-05-01T00:05:00Z","2017-05-01T00:10:00Z",600.63,0.69,0,0,0,0,0,0,
"2017-05-01T00:10:00Z","2017-05-01T00:15:00Z",600.58,0.69,0,0,0,0,0,0,
"2017-05-01T00:15:00Z","2017-05-01T00:20:00Z",600.56,0.68,0,0,0,0,0,0,
"2017-05-01T00:20:00Z","2017-05-01T00:25:00Z",600.67,0.69,0,0,0,0,0,0,
"2017-05-01T00:25:00Z","2017-05-01T00:30:00Z",600.65,0.69,0,0,0,0,0,0,
"2017-05-01T00:30:00Z","2017-05-01T00:35:00Z",600.55,0.69,0,0,0,0,0,0,
"2017-05-01T00:35:00Z","2017-05-01T00:40:00Z",600.51,0.69,0,0,0,0,0,0,
"2017-05-01T00:40:00Z","2017-05-01T00:45:00Z",600.55,0.69,0,0,0,0,0,0,
"2017-05-01T00:45:00Z","2017-05-01T00:50:00Z",600.56,0.69,0,0,0,0,0,0,
"2017-05-01T00:50:00Z","2017-05-01T00:55:00Z",600.54,0.69,0,0,0,0,0,0,
"2017-05-01T00:55:00Z","2017-05-01T01:00:00Z",600.52,0.69,0,0,0,0,0,0,
"2017-05-01T01:00:00Z","2017-05-01T01:05:00Z",600.55,0.69,0,0,0,0,0,0,
"2017-05-01T01:05:00Z","2017-05-01T01:10:00Z",600.55,0.69,0,0,0,0,0,0,
"2017-05-01T01:10:00Z","2017-05-01T01:15:00Z",600.54,0.69,0,0,0,0,0,0,
"2017-05-01T01:15:00Z","2017-05-01T01:20:00Z",600.64,0.69,0,0,0,0,0,0,
"2017-05-01T01:20:00Z","2017-05-01T01:25:00Z",600.72,0.69,0,0,0,0,0,0,
"2017-05-01T01:25:00Z","2017-05-01T01:30:00Z",600.64,0.69,0,0,0,0,0,0,
"2017-05-01T01:30:00Z","2017-05-01T01:35:00Z",600.51,0.69,0,0,0,0,0,0,
"2017-05-01T01:35:00Z","2017-05-01T01:40:00Z",600.54,0.69,0,0,0,0,0,0,
"2017-05-01T01:40:00Z","2017-05-01T01:45:00Z",600.54,0.69,0,0,0,0,0,0,
"2017-05-01T01:45:00Z","2017-05-01T01:50:00Z",600.60,0.69,0,0,0,0,0,0,
"2017-05-01T01:50:00Z","2017-05-01T01:55:00Z",600.79,0.69,0,0,0,0,0,0,
"2017-05-01T01:55:00Z","2017-05-01T02:00:00Z",600.85,0.69,0,0,0,0,0,0,
"2017-05-01T02:00:00Z","2017-05-01T02:05:00Z",600.73,0.69,0,0,0,0,0,0,
"2017-05-01T02:05:00Z","2017-05-01T02:10:00Z",600.68,0.69,0,0,0,0,0,0,
"2017-05-01T02:10:00Z","2017-05-01T02:15:00Z",600.72,0.69,0,0,0,0,0,0,
"2017-05-01T02:15:00Z","2017-05-01T02:20:00Z",600.65,0.69,0,0,0,0,0,0,
"2017-05-01T02:20:00Z","2017-05-01T02:25:00Z",600.72,0.69,0,0,0,0,0,0,
"2017-05-01T02:25:00Z","2017-05-01T02:30:00Z",600.70,0.68,0,0,0,0,0,0,
"2017-05-01T02:30:00Z","2017-05-01T02:35:00Z",600.79,0.68,0,0,0,0,0,0,
