startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,gWatSCondFinalQF
"2019-01-01T00:00:00Z","2019-01-01T00:05:00Z",740.11,0.71,
"2019-01-01T00:05:00Z","2019-01-01T00:10:00Z",740.28,0.71,
"2019-01-01T00:10:00Z","2019-01-01T00:15:00Z",740.41,0.71,
"2019-01-01T00:15:00Z","2019-01-01T00:20:00Z",740.52,0.71,
"2019-01-01T00:20:00Z","2019-01-01T00:25:00Z",740.78,0.71,
"2019-01-01T00:25:00Z","2019-01-01T00:30:00Z",740.92,0.71,
"2019-01-01T00:30:00Z","2019-01-01T00:35:00Z",741.06,0.71,
"2019-01-01T00:35:00Z","2019-01-01T00:40:00Z",741.24,0.71,
"2019-01-01T00:40:00Z","2019-01-01T00:45:00Z",741.29,0.71,
"2019-01-01T00:45:00Z","2019-01-01T00:50:00Z",741.40,0.71,
"2019-01-01T00:50:00Z","2019-01-01T00:55:00Z",741.38,0.71,
"2019-01-01T00:55:00Z","2019-01-01T01:00:00Z",741.25,0.71,
"2019-01-01T01:00:00Z","2019-01-01T01:05:00Z",741.23,0.71,
"2019-01-01T01:05:00Z","2019-01-01T01:10:00Z",741.00,0.71,
"2019-01-01T01:10:00Z","2019-01-01T01:15:00Z",740.80,0.71,
"2019-01-01T01:15:00Z","2019-01-01T01:20:00Z",740.67,0.71,
"2019-01-01T01:20:00Z","2019-01-01T01:25:00Z",740.43,0.71,
"2019-01-01T01:25:00Z","2019-01-01T01:30:00Z",740.43,0.71,
"2019-01-01T01:30:00Z","2019-01-01T01:35:00Z",740.49,0.71,
"2019-01-01T01:35:00Z","2019-01-01T01:40:00Z",740.32,0.71,
"2019-01-01T01:40:00Z","2019-01-01T01:45:00Z",740.24,0.71,
"2019-01-01T01:45:00Z","2019-01-01T01:50:00Z",740.07,0.71,
"2019-01-01T01:50:00Z","2019-01-01T01:55:00Z",740.17,0.71,
"2019-01-01T01:55:00Z","2019-01-01T02:00:00Z",740.29,0.71,
"2019-01-01T02:00:00Z","2019-01-01T02:05:00Z",740.39,0.71,
"2019-01-01T02:05:00Z","2019-01-01T02:10:00Z",740.56,0.71,
"2019-01-01T02:10:00Z","2019-01-01T02:15:00Z",740.46,0.71,
"2019-01-01T02:15:00Z","2019-01-01T02:20:00Z",740.87,0.71,
"2019-01-01T02:20:00Z","2019-01-01T02:25:00Z",740.99,0.71,
"2019-01-01T02:25:00Z","2019-01-01T02:30:00Z",741.08,0.71,
"2019-01-01T02:30:00Z","2019-01-01T02:35:00Z",741.09,0.71,
"2019-01-01T02:35:00Z","2019-01-01T02:40:00Z",741.19,0.71,
"2019-01-01T02:40:00Z","2019-01-01T02:45:00Z",741.18,0.71,
"2019-01-01T02:45:00Z","2019-01-01T02:50:00Z",741.23,0.71,
"2019-01-01T02:50:00Z","2019-01-01T02:55:00Z",741.22,0.71,
"2019-01-01T02:55:00Z","2019-01-01T03:00:00Z",741.31,0.71,
"2019-01-01T03:00:00Z","2019-01-01T03:05:00Z",741.50,0.71,
"2019-01-01T03:05:00Z","2019-01-01T03:10:00Z",741.45,0.71,
"2019-01-01T03:10:00Z","2019-01-01T03:15:00Z",741.39,0.71,
"2019-01-01T03:15:00Z","2019-01-01T03:20:00Z",741.53,0.71,
"2019-01-01T03:20:00Z","2019-01-01T03:25:00Z",741.46,0.71,
"2019-01-01T03:25:00Z","2019-01-01T03:30:00Z",741.34,0.71,
"2019-01-01T03:30:00Z","2019-01-01T03:35:00Z",741.12,0.71,
"2019-01-01T03:35:00Z","2019-01-01T03:40:00Z",741.09,0.71,
"2019-01-01T03:40:00Z","2019-01-01T03:45:00Z",741.27,0.71,
"2019-01-01T03:45:00Z","2019-01-01T03:50:00Z",741.09,0.71,
"2019-01-01T03:50:00Z","2019-01-01T03:55:00Z",741.06,0.71,
"2019-01-01T03:55:00Z","2019-01-01T04:00:00Z",740.94,0.71,
"2019-01-01T04:00:00Z","2019-01-01T04:05:00Z",740.75,0.71,
"2019-01-01T04:05:00Z","2019-01-01T04:10:00Z",740.70,0.71,
"2019-01-01T04:10:00Z","2019-01-01T04:15:00Z",740.64,0.71,
"2019-01-01T04:15:00Z","2019-01-01T04:20:00Z",740.51,0.71,
"2019-01-01T04:20:00Z","2019-01-01T04:25:00Z",740.59,0.71,
"2019-01-01T04:25:00Z","2019-01-01T04:30:00Z",740.38,0.71,
"2019-01-01T04:30:00Z","2019-01-01T04:35:00Z",740.53,0.71,
"2019-01-01T04:35:00Z","2019-01-01T04:40:00Z",740.68,0.71,
"2019-01-01T04:40:00Z","2019-01-01T04:45:00Z",740.70,0.71,
"2019-01-01T04:45:00Z","2019-01-01T04:50:00Z",740.89,0.71,
"2019-01-01T04:50:00Z","2019-01-01T04:55:00Z",741.04,0.71,
"2019-01-01T04:55:00Z","2019-01-01T05:00:00Z",741.06,0.71,
"2019-01-01T05:00:00Z","2019-01-01T05:05:00Z",741.23,0.71,
"2019-01-01T05:05:00Z","2019-01-01T05:10:00Z",741.42,0.71,
"2019-01-01T05:10:00Z","2019-01-01T05:15:00Z",741.33,0.71,
"2019-01-01T05:15:00Z","2019-01-01T05:20:00Z",741.34,0.71,
"2019-01-01T05:20:00Z","2019-01-01T05:25:00Z",741.42,0.71,
"2019-01-01T05:25:00Z","2019-01-01T05:30:00Z",741.34,0.71,
"2019-01-01T05:30:00Z","2019-01-01T05:35:00Z",741.59,0.71,
"2019-01-01T05:35:00Z","2019-01-01T05:40:00Z",741.51,0.71,
"2019-01-01T05:40:00Z","2019-01-01T05:45:00Z",741.55,0.71,
"2019-01-01T05:45:00Z","2019-01-01T05:50:00Z",741.63,0.71,
