startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,groundwaterSpecCondRangeQF,groundwaterSpecCondPersistQF,groundwaterSpecCondStepQF,groundwaterSpecCondNullQF,groundwaterSpecCondGapQF,groundwaterSpecCondSpikeQF,validCalQF
"2017-05-01T00:00:00Z","2017-05-01T00:05:00Z",725.39,0.84,0,0,0,0,0,0,
"2017-05-01T00:05:00Z","2017-05-01T00:10:00Z",725.33,0.84,0,0,0,0,0,0,
"2017-05-01T00:10:00Z","2017-05-01T00:15:00Z",725.35,0.84,0,0,0,0,0,0,
"2017-05-01T00:15:00Z","2017-05-01T00:20:00Z",725.60,0.84,0,0,0,0,0,0,
"2017-05-01T00:20:00Z","2017-05-01T00:25:00Z",725.37,0.84,0,0,0,0,0,0,
"2017-05-01T00:25:00Z","2017-05-01T00:30:00Z",725.18,0.84,0,0,0,0,0,0,
"2017-05-01T00:30:00Z","2017-05-01T00:35:00Z",724.04,0.84,0,0,0,0,0,0,
"2017-05-01T00:35:00Z","2017-05-01T00:40:00Z",724.05,0.84,0,0,0,0,0,0,
"2017-05-01T00:40:00Z","2017-05-01T00:45:00Z",724.42,0.84,0,0,0,0,0,0,
"2017-05-01T00:45:00Z","2017-05-01T00:50:00Z",724.75,0.84,0,0,0,0,0,0,
"2017-05-01T00:50:00Z","2017-05-01T00:55:00Z",725.56,0.84,0,0,0,0,0,0,
"2017-05-01T00:55:00Z","2017-05-01T01:00:00Z",726.65,0.84,0,0,0,0,0,0,
"2017-05-01T01:00:00Z","2017-05-01T01:05:00Z",727.10,0.84,0,0,0,0,0,0,
"2017-05-01T01:05:00Z","2017-05-01T01:10:00Z",727.93,0.84,0,0,0,0,0,0,
"2017-05-01T01:10:00Z","2017-05-01T01:15:00Z",728.10,0.84,0,0,0,0,0,0,
"2017-05-01T01:15:00Z","2017-05-01T01:20:00Z",726.84,0.84,0,0,0,0,0,0,
"2017-05-01T01:20:00Z","2017-05-01T01:25:00Z",726.61,0.83,0,0,0,0,0,0,
"2017-05-01T01:25:00Z","2017-05-01T01:30:00Z",725.00,0.83,0,0,0,0,0,0,
"2017-05-01T01:30:00Z","2017-05-01T01:35:00Z",724.27,0.83,0,0,0,0,0,0,
"2017-05-01T01:35:00Z","2017-05-01T01:40:00Z",723.51,0.83,0,0,0,0,0,0,
"2017-05-01T01:40:00Z","2017-05-01T01:45:00Z",720.66,0.83,0,0,0,0,0,0,
"2017-05-01T01:45:00Z","2017-05-01T01:50:00Z",719.66,0.83,0,0,0,0,0,0,
"2017-05-01T01:50:00Z","2017-05-01T01:55:00Z",718.55,0.83,0,0,0,0,0,0,
"2017-05-01T01:55:00Z","2017-05-01T02:00:00Z",717.78,0.83,0,0,0,0,0,0,
"2017-05-01T02:00:00Z","2017-05-01T02:05:00Z",717.73,0.83,0,0,0,0,0,0,
"2017-05-01T02:05:00Z","2017-05-01T02:10:00Z",717.91,0.83,0,0,0,0,0,0,
"2017-05-01T02:10:00Z","2017-05-01T02:15:00Z",718.14,0.83,0,0,0,0,0,0,
"2017-05-01T02:15:00Z","2017-05-01T02:20:00Z",719.62,0.83,0,0,0,0,0,0,
"2017-05-01T02:20:00Z","2017-05-01T02:25:00Z",720.74,0.83,0,0,0,0,0,0,
"2017-05-01T02:25:00Z","2017-05-01T02:30:00Z",720.95,0.83,0,0,0,0,0,0,
"2017-05-01T02:30:00Z","2017-05-01T02:35:00Z",720.11,0.83,0,0,0,0,0,0,
"2017-05-01T02:35:00Z","2017-05-01T02:40:00Z",721.47,0.83,0,0,0,0,0,0,
"2017-05-01T02:40:00Z","2017-05-01T02:45:00Z",722.77,0.83,0,0,0,0,0,0,
"2017-05-01T02:45:00Z","2017-05-01T02:50:00Z",723.03,0.83,0,0,0,0,0,0,
"2017-05-01T02:50:00Z","2017-05-01T02:55:00Z",722.64,0.83,0,0,0,0,0,0,
"2017-05-01T02:55:00Z","2017-05-01T03:00:00Z",722.53,0.83,0,0,0,0,0,0,
"2017-05-01T03:00:00Z","2017-05-01T03:05:00Z",723.05,0.84,0,0,0,0,0,0,
