startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,groundwaterSpecCondRangeQF,groundwaterSpecCondPersistQF,groundwaterSpecCondStepQF,groundwaterSpecCondNullQF,groundwaterSpecCondGapQF,groundwaterSpecCondSpikeQF,validCalQF
"2017-12-01T00:00:00Z","2017-12-01T00:05:00Z",663.20,0.59,0,0,0,0,0,0,
"2017-12-01T00:05:00Z","2017-12-01T00:10:00Z",663.18,0.59,0,0,0,0,0,0,
"2017-12-01T00:10:00Z","2017-12-01T00:15:00Z",663.17,0.59,0,0,0,0,0,0,
"2017-12-01T00:15:00Z","2017-12-01T00:20:00Z",663.16,0.59,0,0,0,0,0,0,
"2017-12-01T00:20:00Z","2017-12-01T00:25:00Z",663.17,0.59,0,0,0,0,0,0,
"2017-12-01T00:25:00Z","2017-12-01T00:30:00Z",663.30,0.59,0,0,0,0,0,0,
"2017-12-01T00:30:00Z","2017-12-01T00:35:00Z",663.30,0.59,0,0,0,0,0,0,
"2017-12-01T00:35:00Z","2017-12-01T00:40:00Z",663.40,0.59,0,0,0,0,0,0,
"2017-12-01T00:40:00Z","2017-12-01T00:45:00Z",663.32,0.59,0,0,0,0,0,0,
"2017-12-01T00:45:00Z","2017-12-01T00:50:00Z",663.34,0.59,0,0,0,0,0,0,
"2017-12-01T00:50:00Z","2017-12-01T00:55:00Z",663.49,0.59,0,0,0,0,0,0,
"2017-12-01T00:55:00Z","2017-12-01T01:00:00Z",663.47,0.59,0,0,0,0,0,0,
"2017-12-01T01:00:00Z","2017-12-01T01:05:00Z",663.42,0.59,0,0,0,0,0,0,
"2017-12-01T01:05:00Z","2017-12-01T01:10:00Z",663.48,0.59,0,0,0,0,0,0,
"2017-12-01T01:10:00Z","2017-12-01T01:15:00Z",663.46,0.59,0,0,0,0,0,0,
"2017-12-01T01:15:00Z","2017-12-01T01:20:00Z",663.45,0.59,0,0,0,0,0,0,
"2017-12-01T01:20:00Z","2017-12-01T01:25:00Z",663.51,0.59,0,0,0,0,0,0,
"2017-12-01T01:25:00Z","2017-12-01T01:30:00Z",663.56,0.59,0,0,0,0,0,0,
"2017-12-01T01:30:00Z","2017-12-01T01:35:00Z",663.61,0.59,0,0,0,0,0,0,
"2017-12-01T01:35:00Z","2017-12-01T01:40:00Z",663.47,0.59,0,0,0,0,0,0,
"2017-12-01T01:40:00Z","2017-12-01T01:45:00Z",663.56,0.59,0,0,0,0,0,0,
"2017-12-01T01:45:00Z","2017-12-01T01:50:00Z",663.56,0.59,0,0,0,0,0,0,
"2017-12-01T01:50:00Z","2017-12-01T01:55:00Z",663.57,0.59,0,0,0,0,0,0,
"2017-12-01T01:55:00Z","2017-12-01T02:00:00Z",663.48,0.59,0,0,0,0,0,0,
"2017-12-01T02:00:00Z","2017-12-01T02:05:00Z",663.54,0.59,0,0,0,0,0,0,
"2017-12-01T02:05:00Z","2017-12-01T02:10:00Z",663.55,0.59,0,0,0,0,0,0,
"2017-12-01T02:10:00Z","2017-12-01T02:15:00Z",663.55,0.59,0,0,0,0,0,0,
"2017-12-01T02:15:00Z","2017-12-01T02:20:00Z",663.58,0.59,0,0,0,0,0,0,
"2017-12-01T02:20:00Z","2017-12-01T02:25:00Z",663.53,0.59,0,0,0,0,0,0,
"2017-12-01T02:25:00Z","2017-12-01T02:30:00Z",663.51,0.59,0,0,0,0,0,0,
"2017-12-01T02:30:00Z","2017-12-01T02:35:00Z",663.56,0.59,0,0,0,0,0,0,
"2017-12-01T02:35:00Z","2017-12-01T02:40:00Z",663.55,0.59,0,0,0,0,0,0,
"2017-12-01T02:40:00Z","2017-12-01T02:45:00Z",663.47,0.59,0,0,0,0,0,0,
"2017-12-01T02:45:00Z","2017-12-01T02:50:00Z",663.50,0.59,0,0,0,0,0,0,
"2017-12-01T02:50:00Z","2017-12-01T02:55:00Z",663.48,0.59,0,0,0,0,0,0,
"2017-12-01T02:55:00Z","2017-12-01T03:00:00Z",663.53,0.59,0,0,0,0,0,0,
"2017-12-01T03:00:00Z","2017-12-01T03:05:00Z",663.49,0.59,0,0,0,0,0,0,
"2017-12-01T03:05:00Z","2017-12-01T03:10:00Z",663.57,0.59,0,0,0,0,0,0,
"2017-12-01T03:10:00Z","2017-12-01T03:15:00Z",663.58,0.59,0,0,0,0,0,0,
"2017-12-01T03:15:00Z","2017-12-01T03:20:00Z",663.53,0.59,0,0,0,0,0,0,
"2017-12-01T03:20:00Z","2017-12-01T03:25:00Z",663.54,0.59,0,0,0,0,0,0,
"2017-12-01T03:25:00Z","2017-12-01T03:30:00Z",663.53,0.59,0,0,0,0,0,0,
