startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,groundwaterSpecCondRangeQF,groundwaterSpecCondPersistQF,groundwaterSpecCondStepQF,groundwaterSpecCondNullQF,groundwaterSpecCondGapQF,groundwaterSpecCondSpikeQF,validCalQF
"2017-04-01T00:00:00Z","2017-04-01T00:05:00Z",621.81,0.70,0,0,0,0,0,0,
"2017-04-01T00:05:00Z","2017-04-01T00:10:00Z",621.70,0.70,0,0,0,0,0,0,
"2017-04-01T00:10:00Z","2017-04-01T00:15:00Z",622.37,0.70,0,0,0,0,0,0,
"2017-04-01T00:15:00Z","2017-04-01T00:20:00Z",622.27,0.70,0,0,0,0,0,0,
"2017-04-01T00:20:00Z","2017-04-01T00:25:00Z",622.20,0.70,0,0,0,0,0,0,
"2017-04-01T00:25:00Z","2017-04-01T00:30:00Z",622.00,0.86,0,0,0,0,0,0,
"2017-04-01T00:30:00Z","2017-04-01T00:35:00Z",622.07,0.70,0,0,0,0,0,0,
"2017-04-01T00:35:00Z","2017-04-01T00:40:00Z",622.20,0.70,0,0,0,0,0,0,
"2017-04-01T00:40:00Z","2017-04-01T00:45:00Z",622.22,0.70,0,0,0,0,0,0,
"2017-04-01T00:45:00Z","2017-04-01T00:50:00Z",622.09,0.70,0,0,0,0,0,0,
"2017-04-01T00:50:00Z","2017-04-01T00:55:00Z",622.05,0.70,0,0,0,0,0,0,
"2017-04-01T00:55:00Z","2017-04-01T01:00:00Z",622.00,0.80,0,0,0,0,0,0,
"2017-04-01T01:00:00Z","2017-04-01T01:05:00Z",622.05,0.70,0,0,0,0,0,0,
"2017-04-01T01:05:00Z","2017-04-01T01:10:00Z",622.15,0.70,0,0,0,0,0,0,
"2017-04-01T01:10:00Z","2017-04-01T01:15:00Z",622.12,0.70,0,0,0,0,0,0,
"2017-04-01T01:15:00Z","2017-04-01T01:20:00Z",622.19,0.70,0,0,0,0,0,0,
"2017-04-01T01:20:00Z","2017-04-01T01:25:00Z",622.22,0.70,0,0,0,0,0,0,
"2017-04-01T01:25:00Z","2017-04-01T01:30:00Z",622.00,0.81,0,0,0,0,0,0,
"2017-04-01T01:30:00Z","2017-04-01T01:35:00Z",621.93,0.70,0,0,0,0,0,0,
"2017-04-01T01:35:00Z","2017-04-01T01:40:00Z",622.03,0.70,0,0,0,0,0,0,
"2017-04-01T01:40:00Z","2017-04-01T01:45:00Z",621.92,0.70,0,0,0,0,0,0,
"2017-04-01T01:45:00Z","2017-04-01T01:50:00Z",621.93,0.70,0,0,0,0,0,0,
"2017-04-01T01:50:00Z","2017-04-01T01:55:00Z",621.92,0.70,0,0,0,0,0,0,
"2017-04-01T01:55:00Z","2017-04-01T02:00:00Z",621.65,0.91,0,0,0,0,0,0,
"2017-04-01T02:00:00Z","2017-04-01T02:05:00Z",621.47,0.70,0,0,0,0,0,0,
"2017-04-01T02:05:00Z","2017-04-01T02:10:00Z",621.30,0.70,0,0,0,0,0,0,
"2017-04-01T02:10:00Z","2017-04-01T02:15:00Z",621.33,0.70,0,0,0,0,0,0,
"2017-04-01T02:15:00Z","2017-04-01T02:20:00Z",621.88,0.70,0,0,0,0,0,0,
"2017-04-01T02:20:00Z","2017-04-01T02:25:00Z",621.99,0.70,0,0,0,0,0,0,
"2017-04-01T02:25:00Z","2017-04-01T02:30:00Z",622.04,1.18,0,0,0,0,0,0,
"2017-04-01T02:30:00Z","2017-04-01T02:35:00Z",621.84,0.70,0,0,0,0,0,0,
"2017-04-01T02:35:00Z","2017-04-01T02:40:00Z",621.62,0.70,0,0,0,0,0,0,
"2017-04-01T02:40:00Z","2017-04-01T02:45:00Z",621.83,0.70,0,0,0,0,0,0,
"2017-04-01T02:45:00Z","2017-04-01T02:50:00Z",621.86,0.70,0,0,0,0,0,0,
"2017-04-01T02:50:00Z","2017-04-01T02:55:00Z",622.03,0.70,0,0,0,0,0,0,
"2017-04-01T02:55:00Z","2017-04-01T03:00:00Z",622.06,0.85,0,0,0,0,0,0,
"2017-04-01T03:00:00Z","2017-04-01T03:05:00Z",621.92,0.70,0,0,0,0,0,0,
"2017-04-01T03:05:00Z","2017-04-01T03:10:00Z",621.56,0.70,0,0,0,0,0,0,
