startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,gWatSCondFinalQF
"2018-09-01T00:00:00Z","2018-09-01T00:05:00Z",657.10,0.66,
"2018-09-01T00:05:00Z","2018-09-01T00:10:00Z",657.12,0.66,
"2018-09-01T00:10:00Z","2018-09-01T00:15:00Z",657.09,0.66,
"2018-09-01T00:15:00Z","2018-09-01T00:20:00Z",657.05,0.66,
"2018-09-01T00:20:00Z","2018-09-01T00:25:00Z",657.00,0.66,
"2018-09-01T00:25:00Z","2018-09-01T00:30:00Z",657.03,0.66,
"2018-09-01T00:30:00Z","2018-09-01T00:35:00Z",656.96,0.66,
"2018-09-01T00:35:00Z","2018-09-01T00:40:00Z",657.12,0.66,
"2018-09-01T00:40:00Z","2018-09-01T00:45:00Z",656.98,0.66,
"2018-09-01T00:45:00Z","2018-09-01T00:50:00Z",657.13,0.66,
"2018-09-01T00:50:00Z","2018-09-01T00:55:00Z",657.08,0.66,
"2018-09-01T00:55:00Z","2018-09-01T01:00:00Z",657.00,0.66,
"2018-09-01T01:00:00Z","2018-09-01T01:05:00Z",657.11,0.66,
"2018-09-01T01:05:00Z","2018-09-01T01:10:00Z",657.07,0.66,
"2018-09-01T01:10:00Z","2018-09-01T01:15:00Z",657.12,0.66,
"2018-09-01T01:15:00Z","2018-09-01T01:20:00Z",657.08,0.66,
"2018-09-01T01:20:00Z","2018-09-01T01:25:00Z",657.08,0.66,
"2018-09-01T01:25:00Z","2018-09-01T01:30:00Z",657.00,0.66,
"2018-09-01T01:30:00Z","2018-09-01T01:35:00Z",657.10,0.66,
"2018-09-01T01:35:00Z","2018-09-01T01:40:00Z",657.01,0.66,
"2018-09-01T01:40:00Z","2018-09-01T01:45:00Z",657.04,0.66,
"2018-09-01T01:45:00Z","2018-09-01T01:50:00Z",657.10,0.66,
"2018-09-01T01:50:00Z","2018-09-01T01:55:00Z",657.09,0.66,
"2018-09-01T01:55:00Z","2018-09-01T02:00:00Z",657.04,0.66,
"2018-09-01T02:00:00Z","2018-09-01T02:05:00Z",657.15,0.66,
"2018-09-01T02:05:00Z","2018-09-01T02:10:00Z",657.08,0.66,
