startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,groundwaterSpecCondRangeQF,groundwaterSpecCondPersistQF,groundwaterSpecCondStepQF,groundwaterSpecCondNullQF,groundwaterSpecCondGapQF,groundwaterSpecCondSpikeQF,validCalQF
"2017-06-01T00:00:00Z","2017-06-01T00:05:00Z",716.61,0.78,0,0,0,0,0,0,
"2017-06-01T00:05:00Z","2017-06-01T00:10:00Z",716.65,0.78,0,0,0,0,0,0,
"2017-06-01T00:10:00Z","2017-06-01T00:15:00Z",717.95,0.78,0,0,0,0,0,0,
"2017-06-01T00:15:00Z","2017-06-01T00:20:00Z",716.33,0.78,0,0,0,0,0,0,
"2017-06-01T00:20:00Z","2017-06-01T00:25:00Z",717.14,0.78,0,0,0,0,0,0,
"2017-06-01T00:25:00Z","2017-06-01T00:30:00Z",716.84,0.78,0,0,0,0,0,0,
"2017-06-01T00:30:00Z","2017-06-01T00:35:00Z",715.42,0.78,0,0,0,0,0,0,
"2017-06-01T00:35:00Z","2017-06-01T00:40:00Z",715.49,0.78,0,0,0,0,0,0,
"2017-06-01T00:40:00Z","2017-06-01T00:45:00Z",715.28,0.78,0,0,0,0,0,0,
"2017-06-01T00:45:00Z","2017-06-01T00:50:00Z",713.69,0.78,0,0,0,0,0,0,
"2017-06-01T00:50:00Z","2017-06-01T00:55:00Z",714.72,0.78,0,0,0,0,0,0,
"2017-06-01T00:55:00Z","2017-06-01T01:00:00Z",713.87,0.78,0,0,0,0,0,0,
"2017-06-01T01:00:00Z","2017-06-01T01:05:00Z",714.70,0.78,0,0,0,0,0,0,
"2017-06-01T01:05:00Z","2017-06-01T01:10:00Z",714.77,0.78,0,0,0,0,0,0,
"2017-06-01T01:10:00Z","2017-06-01T01:15:00Z",716.72,0.78,0,0,0,0,0,0,
"2017-06-01T01:15:00Z","2017-06-01T01:20:00Z",716.83,0.78,0,0,0,0,0,0,
"2017-06-01T01:20:00Z","2017-06-01T01:25:00Z",715.79,0.78,0,0,0,0,0,0,
"2017-06-01T01:25:00Z","2017-06-01T01:30:00Z",716.92,0.78,0,0,0,0,0,0,
"2017-06-01T01:30:00Z","2017-06-01T01:35:00Z",717.00,0.78,0,0,0,0,0,0,
"2017-06-01T01:35:00Z","2017-06-01T01:40:00Z",714.23,0.78,0,0,0,0,0,0,
"2017-06-01T01:40:00Z","2017-06-01T01:45:00Z",717.74,0.78,0,0,0,0,0,0,
"2017-06-01T01:45:00Z","2017-06-01T01:50:00Z",718.07,0.78,0,0,0,0,0,0,
"2017-06-01T01:50:00Z","2017-06-01T01:55:00Z",718.23,0.78,0,0,0,0,0,0,
"2017-06-01T01:55:00Z","2017-06-01T02:00:00Z",719.92,0.78,0,0,0,0,0,0,
"2017-06-01T02:00:00Z","2017-06-01T02:05:00Z",717.26,0.78,0,0,0,0,0,0,
"2017-06-01T02:05:00Z","2017-06-01T02:10:00Z",719.52,0.78,0,0,0,0,0,0,
"2017-06-01T02:10:00Z","2017-06-01T02:15:00Z",720.53,0.78,0,0,0,0,0,0,
"2017-06-01T02:15:00Z","2017-06-01T02:20:00Z",717.16,0.78,0,0,0,0,0,0,
"2017-06-01T02:20:00Z","2017-06-01T02:25:00Z",713.99,0.78,0,0,0,0,0,0,
"2017-06-01T02:25:00Z","2017-06-01T02:30:00Z",714.29,0.78,0,0,0,0,0,0,
"2017-06-01T02:30:00Z","2017-06-01T02:35:00Z",715.05,0.78,0,0,0,0,0,0,
"2017-06-01T02:35:00Z","2017-06-01T02:40:00Z",713.11,,0,0,1,0,0,0,
"2017-06-01T02:40:00Z","2017-06-01T02:45:00Z",717.16,,0,0,1,0,0,0,
"2017-06-01T02:45:00Z","2017-06-01T02:50:00Z",716.11,0.78,0,0,0,0,0,0,
"2017-06-01T02:50:00Z","2017-06-01T02:55:00Z",715.88,0.78,0,0,0,0,0,0,
"2017-06-01T02:55:00Z","2017-06-01T03:00:00Z",714.37,0.78,0,0,0,0,0,0,
"2017-06-01T03:00:00Z","2017-06-01T03:05:00Z",715.13,0.78,0,0,0,0,0,0,
"2017-06-01T03:05:00Z","2017-06-01T03:10:00Z",715.91,0.78,0,0,0,0,0,0,
"2017-06-01T03:10:00Z","2017-06-01T03:15:00Z",718.01,0.78,0,0,0,0,0,0,
"2017-06-01T03:15:00Z","2017-06-01T03:20:00Z",717.09,0.78,0,0,0,0,0,0,
"2017-06-01T03:20:00Z","2017-06-01T03:25:00Z",717.57,0.78,0,0,0,0,0,0,
"2017-06-01T03:25:00Z","2017-06-01T03:30:00Z",716.14,0.78,0,0,0,0,0,0,
"2017-06-01T03:30:00Z","2017-06-01T03:35:00Z",716.89,0.78,0,0,0,0,0,0,
"2017-06-01T03:35:00Z","2017-06-01T03:40:00Z",715.74,0.78,0,0,0,0,0,0,
"2017-06-01T03:40:00Z","2017-06-01T03:45:00Z",716.19,0.78,0,0,0,0,0,0,
"2017-06-01T03:45:00Z","2017-06-01T03:50:00Z",715.76,0.78,0,0,0,0,0,0,
"2017-06-01T03:50:00Z","2017-06-01T03:55:00Z",714.63,0.78,0,0,0,0,0,0,
"2017-06-01T03:55:00Z","2017-06-01T04:00:00Z",713.68,0.78,0,0,0,0,0,0,
"2017-06-01T04:00:00Z","2017-06-01T04:05:00Z",715.06,0.78,0,0,0,0,0,0,
"2017-06-01T04:05:00Z","2017-06-01T04:10:00Z",716.29,0.78,0,0,0,0,0,0,
"2017-06-01T04:10:00Z","2017-06-01T04:15:00Z",716.84,0.78,0,0,0,0,0,0,
"2017-06-01T04:15:00Z","2017-06-01T04:20:00Z",714.84,0.78,0,0,0,0,0,0,
"2017-06-01T04:20:00Z","2017-06-01T04:25:00Z",712.90,0.77,0,0,0,0,0,0,
"2017-06-01T04:25:00Z","2017-06-01T04:30:00Z",711.53,0.77,0,0,0,0,0,0,
"2017-06-01T04:30:00Z","2017-06-01T04:35:00Z",708.62,0.77,0,0,0,0,0,0,
"2017-06-01T04:35:00Z","2017-06-01T04:40:00Z",707.53,0.77,0,0,0,0,0,0,
"2017-06-01T04:40:00Z","2017-06-01T04:45:00Z",707.87,0.77,0,0,0,0,0,0,
"2017-06-01T04:45:00Z","2017-06-01T04:50:00Z",707.93,0.77,0,0,0,0,0,0,
"2017-06-01T04:50:00Z","2017-06-01T04:55:00Z",710.46,0.77,0,0,0,0,0,0,
"2017-06-01T04:55:00Z","2017-06-01T05:00:00Z",712.76,0.77,0,0,0,0,0,0,
"2017-06-01T05:00:00Z","2017-06-01T05:05:00Z",715.55,0.78,0,0,0,0,0,0,
"2017-06-01T05:05:00Z","2017-06-01T05:10:00Z",716.40,0.78,0,0,0,0,0,0,
"2017-06-01T05:10:00Z","2017-06-01T05:15:00Z",714.00,,0,0,1,0,0,0,
"2017-06-01T05:15:00Z","2017-06-01T05:20:00Z",709.75,,0,0,1,0,0,0,
"2017-06-01T05:20:00Z","2017-06-01T05:25:00Z",708.48,0.77,0,0,0,0,0,0,
"2017-06-01T05:25:00Z","2017-06-01T05:30:00Z",707.27,0.77,0,0,0,0,0,0,
"2017-06-01T05:30:00Z","2017-06-01T05:35:00Z",707.40,0.77,0,0,0,0,0,0,
"2017-06-01T05:35:00Z","2017-06-01T05:40:00Z",707.43,0.77,0,0,0,0,0,0,
"2017-06-01T05:40:00Z","2017-06-01T05:45:00Z",709.34,0.77,0,0,0,0,0,0,
"2017-06-01T05:45:00Z","2017-06-01T05:50:00Z",713.12,0.78,0,0,0,0,0,0,
"2017-06-01T05:50:00Z","2017-06-01T05:55:00Z",717.11,0.78,0,0,0,0,0,0,
"2017-06-01T05:55:00Z","2017-06-01T06:00:00Z",720.34,0.78,0,0,0,0,0,0,
"2017-06-01T06:00:00Z","2017-06-01T06:05:00Z",719.28,0.78,0,0,0,0,0,0,
"2017-06-01T06:05:00Z","2017-06-01T06:10:00Z",716.20,0.78,0,0,0,0,0,0,
"2017-06-01T06:10:00Z","2017-06-01T06:15:00Z",714.26,0.78,0,0,0,0,0,0,
"2017-06-01T06:15:00Z","2017-06-01T06:20:00Z",715.43,0.78,0,0,0,0,0,0,
"2017-06-01T06:20:00Z","2017-06-01T06:25:00Z",712.53,,0,0,1,0,0,0,
"2017-06-01T06:25:00Z","2017-06-01T06:30:00Z",708.27,,0,0,1,0,0,0,
"2017-06-01T06:30:00Z","2017-06-01T06:35:00Z",706.77,0.77,0,0,0,0,0,0,
"2017-06-01T06:35:00Z","2017-06-01T06:40:00Z",707.05,0.77,0,0,0,0,0,0,
"2017-06-01T06:40:00Z","2017-06-01T06:45:00Z",708.89,0.77,0,0,0,0,0,0,
"2017-06-01T06:45:00Z","2017-06-01T06:50:00Z",710.07,0.77,0,0,0,0,0,0,
"2017-06-01T06:50:00Z","2017-06-01T06:55:00Z",708.71,0.77,0,0,0,0,0,0,
"2017-06-01T06:55:00Z","2017-06-01T07:00:00Z",706.72,0.77,0,0,0,0,0,0,
"2017-06-01T07:00:00Z","2017-06-01T07:05:00Z",704.15,0.76,0,0,0,0,0,0,
"2017-06-01T07:05:00Z","2017-06-01T07:10:00Z",706.05,0.77,0,0,0,0,0,0,
"2017-06-01T07:10:00Z","2017-06-01T07:15:00Z",707.03,0.77,0,0,0,0,0,0,
"2017-06-01T07:15:00Z","2017-06-01T07:20:00Z",706.70,0.77,0,0,0,0,0,0,
"2017-06-01T07:20:00Z","2017-06-01T07:25:00Z",708.02,,0,0,1,0,0,0,
"2017-06-01T07:25:00Z","2017-06-01T07:30:00Z",712.87,,0,0,1,0,0,0,
"2017-06-01T07:30:00Z","2017-06-01T07:35:00Z",709.73,0.77,0,0,0,0,0,0,
"2017-06-01T07:35:00Z","2017-06-01T07:40:00Z",711.98,0.77,0,0,0,0,0,0,
"2017-06-01T07:40:00Z","2017-06-01T07:45:00Z",711.11,0.77,0,0,0,0,0,0,
"2017-06-01T07:45:00Z","2017-06-01T07:50:00Z",708.16,0.77,0,0,0,0,0,0,
