startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,gWatSCondFinalQF
"2018-10-01T00:00:00Z","2018-10-01T00:05:00Z",645.56,0.63,
"2018-10-01T00:05:00Z","2018-10-01T00:10:00Z",645.47,0.63,
"2018-10-01T00:10:00Z","2018-10-01T00:15:00Z",645.41,0.63,
"2018-10-01T00:15:00Z","2018-10-01T00:20:00Z",645.53,0.63,
"2018-10-01T00:20:00Z","2018-10-01T00:25:00Z",645.44,0.63,
"2018-10-01T00:25:00Z","2018-10-01T00:30:00Z",645.47,0.63,
"2018-10-01T00:30:00Z","2018-10-01T00:35:00Z",645.43,0.63,
"2018-10-01T00:35:00Z","2018-10-01T00:40:00Z",645.46,0.63,
"2018-10-01T00:40:00Z","2018-10-01T00:45:00Z",645.59,0.63,
"2018-10-01T00:45:00Z","2018-10-01T00:50:00Z",645.54,0.63,
"2018-10-01T00:50:00Z","2018-10-01T00:55:00Z",645.59,0.63,
"2018-10-01T00:55:00Z","2018-10-01T01:00:00Z",645.47,0.63,
"2018-10-01T01:00:00Z","2018-10-01T01:05:00Z",645.52,0.63,
"2018-10-01T01:05:00Z","2018-10-01T01:10:00Z",645.51,0.63,
"2018-10-01T01:10:00Z","2018-10-01T01:15:00Z",645.48,0.63,
"2018-10-01T01:15:00Z","2018-10-01T01:20:00Z",645.52,0.63,
"2018-10-01T01:20:00Z","2018-10-01T01:25:00Z",645.49,0.63,
"2018-10-01T01:25:00Z","2018-10-01T01:30:00Z",645.50,0.63,
"2018-10-01T01:30:00Z","2018-10-01T01:35:00Z",645.42,0.63,
"2018-10-01T01:35:00Z","2018-10-01T01:40:00Z",645.55,0.63,
"2018-10-01T01:40:00Z","2018-10-01T01:45:00Z",645.50,0.63,
"2018-10-01T01:45:00Z","2018-10-01T01:50:00Z",645.50,0.63,
"2018-10-01T01:50:00Z","2018-10-01T01:55:00Z",645.59,0.63,
"2018-10-01T01:55:00Z","2018-10-01T02:00:00Z",645.57,0.63,
"2018-10-01T02:00:00Z","2018-10-01T02:05:00Z",645.52,0.63,
"2018-10-01T02:05:00Z","2018-10-01T02:10:00Z",645.47,0.63,
"2018-10-01T02:10:00Z","2018-10-01T02:15:00Z",645.51,0.63,
"2018-10-01T02:15:00Z","2018-10-01T02:20:00Z",645.63,0.63,
"2018-10-01T02:20:00Z","2018-10-01T02:25:00Z",645.52,0.63,
"2018-10-01T02:25:00Z","2018-10-01T02:30:00Z",645.55,0.63,
"2018-10-01T02:30:00Z","2018-10-01T02:35:00Z",645.47,0.63,
"2018-10-01T02:35:00Z","2018-10-01T02:40:00Z",645.42,0.63,
"2018-10-01T02:40:00Z","2018-10-01T02:45:00Z",645.51,0.63,
"2018-10-01T02:45:00Z","2018-10-01T02:50:00Z",645.50,0.63,
"2018-10-01T02:50:00Z","2018-10-01T02:55:00Z",645.56,0.63,
"2018-10-01T02:55:00Z","2018-10-01T03:00:00Z",645.41,0.63,
"2018-10-01T03:00:00Z","2018-10-01T03:05:00Z",645.55,0.63,
"2018-10-01T03:05:00Z","2018-10-01T03:10:00Z",645.58,0.63,
"2018-10-01T03:10:00Z","2018-10-01T03:15:00Z",645.59,0.63,
"2018-10-01T03:15:00Z","2018-10-01T03:20:00Z",645.51,0.63,
"2018-10-01T03:20:00Z","2018-10-01T03:25:00Z",645.56,0.63,
"2018-10-01T03:25:00Z","2018-10-01T03:30:00Z",645.58,0.63,
"2018-10-01T03:30:00Z","2018-10-01T03:35:00Z",645.51,0.63,
"2018-10-01T03:35:00Z","2018-10-01T03:40:00Z",645.52,0.63,
"2018-10-01T03:40:00Z","2018-10-01T03:45:00Z",645.51,0.63,
"2018-10-01T03:45:00Z","2018-10-01T03:50:00Z",645.40,0.63,
"2018-10-01T03:50:00Z","2018-10-01T03:55:00Z",645.49,0.63,
"2018-10-01T03:55:00Z","2018-10-01T04:00:00Z",645.56,0.63,
"2018-10-01T04:00:00Z","2018-10-01T04:05:00Z",645.49,0.63,
"2018-10-01T04:05:00Z","2018-10-01T04:10:00Z",645.57,0.63,
"2018-10-01T04:10:00Z","2018-10-01T04:15:00Z",645.53,0.63,
"2018-10-01T04:15:00Z","2018-10-01T04:20:00Z",645.49,0.63,
