Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,0.727,0.661,0.559,0.71,0.506,1.103,0.647,0.427
Dec,0.851,0.691,0.612,0.878,0.628,1.081,0.817,0.454
Jan,0.579,0.489,0.49,0.714,0.458,0.813,0.732,0.289
Feb,0.949,0.748,0.751,0.982,0.706,1.057,0.993,0.481
Mar,0.938,0.785,1.039,0.99,0.805,1.127,0.969,0.638
,,,,,,,,
,,,,,0.6206,1.0362,,
,,,,,0.142235017,0.127440967,,
