NUMBER,VALUE
1,1.956
2,1.979
3,1.947
4,2.369
5,2.1
6,1.849
7,1.944
8,1.928
9,2.119
10,2.192
11,1.869
12,1.887
13,1.949
14,2.08
15,2.193
16,1.952
17,2.016
18,2.057
19,2.154
20,2.176
21,1.851
22,1.948
23,1.923
24,2.082
25,2.148
26,2.197
27,2.153
28,2.151
29,2.272
30,2.273
31,1.969
32,2.08
33,2.253
34,2.099
35,2.431
36,2.11
37,2.14
38,2.083
39,2.191
40,2.26
