Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,1.956,1.849,1.869,1.952,1.851,2.197,1.969,2.110
Dec,1.979,1.944,1.887,2.016,1.948,2.153,2.080,2.140
Jan,1.947,1.928,1.949,2.057,1.923,2.151,2.253,2.083
Feb,2.369,2.119,2.080,2.154,2.082,2.272,2.099,2.191
Mar,2.100,2.192,2.193,2.176,2.148,2.273,2.431,2.260
