Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,34.032,34.884,34.172,34.154,33.834,38.555,34.083,34.068
Dec,34.619,35.381,34.636,34.734,34.458,38.018,35.021,35.209
Jan,34.511,35.252,34.238,34.445,33.931,36.63,34.526,34.946
Feb,35.712,36.75,35.853,35.83,35.616,36.99,36.183,36.812
Mar,36.805,36.984,36.542,36.508,36.286,36.926,36.629,37.799
,,,,,,,,
,,,,,,,,
,,,,,34.825,37.4238,,
,,,,,1.081227081,0.821400146,,
