NUMBER,VALUE
1,389.2
2,362.4
3,379
4,325
5,340.3
6,323.7
7,338.02
8,314.6
9,326.2
10,344.4
11,347.3
12,339.15
13,342
14,329.4
15,335.9
16,335.9
17,336.67
18,346.5
19,341.4
20,340.3
21,355.9
22,338.98
23,337.7
24,341.3
25,337.2
26,353.3
27,333.19
28,346.7
29,327.8
30,338.3
31,329.3
32,336.66
33,331.1
34,337.8
35,322.8
36,361.2
37,339.52
38,343.7
39,345.5
40,349.1
