NUMBER,VALUE
1,30.2
2,31.1
3,
4,
5,26.9
6,29.7
7,33.3
8,
9,
10,29.4
11,36
12,34
13,
14,
15,31.7
16,24
17,28.7
18,
19,
20,25.2
21,38
22,32.1
23,
24,
25,28.6
26,26.2
27,29.9
28,
29,
30,27.5
31,27.9
32,27.3
33,
34,
35,29.5
36,46.2
37,42
38,
39,
40,29.9
