NUMBER,VALUE
1,598
2,669
3,
4,
5,673
6,663
7,662
8,
9,
10,663
11,667
12,671
13,
14,
15,676
16,666
17,664
18,
19,
20,677
21,671
22,656
23,
24,
25,660
26,681
27,673
28,
29,
30,651
31,657
32,654
33,
34,
35,656
36,676
37,669
38,
39,
40,668
