Month,Well,Bank,DTW,Temperature,Conductivity,DO (ppm),pH,Alkalinity ,Cl,SO4,NO3,Ca,K,NH4,Mg,Na,Aragonite,  Calcite,   CO2, Dolomite
Mar '18,Well6,Ag,566,15.1,651,2.666,6.72,338.3,2.273,36.926,1.127,116.59,1.23,,20.77,6.18,-0.3985,-0.2474,-1.1857,-1.0349
Mar '18,Well7,Ag,475,13.9,656,2.917,6.55,322.8,2.431,36.629,0.969,111.06,1.32,,21.4,5.99,-0.6242,-0.4721,-1.0414,-1.4704
Mar '18,Well8,Pr,509,14.3,668,2.928,6.79,349.1,2.26,37.799,0.638,86.45,1.01,,21.23,5.5,-0.4461,-0.2943,-1.2422,-1.003
Apr '18,Well1,Ag,618,11.9,672,2.706,6.59,368.3,3.003,38.3547,0.02,111.38,1.29,,22.02,5.63,-0.5634,-0.4098,-1.0352,-1.3697
Apr '18,Well2,Pr,578,12.4,662,2.856,6.75,326.6,3.4365,39.5129,0.02,108.82,1.16,,20.87,5.4,-0.4516,-0.2983,-1.2439,-1.1508
Apr '18,Well3,Pr,725,NA,,,,,,,,,,,,,,,,
Apr '18,Well4,Ag,558,12.7,689,2.493,6.48,334.7,2.9516,37.3335,0.02,123.71,1.22,,23.11,5.8,-0.6581,-0.5051,-0.9641,-1.5703
Apr '18,Well5,Pr,551,12.2,661,2.825,6.72,334.5,3.0782,37.5414,0.02,120.91,0.86,,22.96,5.34,-0.4352,-0.2818,-1.2068,-1.1255
Apr '18,Well6,Ag,579,13.2,636,2.53,6.6,329.4,3.0173,36.2585,0.02,115.12,1.03,,20.65,5.97,-0.5624,-0.4098,-1.0867,-1.3888
Apr '18,Well7,Ag,488,11.9,654,2.561,6.36,332.2,3.1681,36.6179,0.02,149.85,1.08,,20.86,5.37,-0.7187,-0.5651,-0.8542,-1.832
Apr '18,Well8,Pr,524,12.5,647,2.763,6.63,329.5,3.0899,38.1581,0.02,120.86,0.86,,22.18,5.48,-0.5261,-0.373,-1.1214,-1.3173
May '18,Well1,Ag,624,14.3,663,1.459,6.59,357.9,2.3873,45.106,1.0381,142.71,1,,25.5,4.49,-0.4463,-0.2945,-1.0402,-1.141
May '18,Well2,Pr,583,15.1,665,1.503,6.73,336.6,2.2914,50.9696,0.02,133.64,1.16,,23.37,5.57,-0.3439,-0.1928,-1.2009,-0.9337
May '18,Well3,Pr,,,,,,,,,,,,,,,,,,
May '18,Well4,Ag,564,15.4,662,1.267,6.45,346.1,1.9777,47.9328,0.9683,127.41,1.18,,21.5,5.61,-0.6242,-0.4733,-0.9057,-1.5056
May '18,Well5,Pr,556,15.2,650,1.469,6.63,335.6,2.1665,47.9838,0.02,121.06,0.55,,24.47,4.59,-0.4809,-0.3298,-1.0999,-1.1434
May '18,Well6,Ag,586,15.9,632,1.245,6.65,330,2.1861,47.6867,0.02,115.34,1.08,,21.18,5.86,-0.4735,-0.323,-1.1219,-1.1603
May '18,Well7,Ag,491,14.6,667,1.175,6.37,341,2.1775,47.4551,0.02,114.72,0.98,,22.14,5.37,-0.7627,-0.6112,-0.8346,-1.7363
May '18,Well8,Pr,526,14.5,659,1.39,6.64,338.5,2.5713,51.6899,0.02,128.45,0.74,,23.6,4.95,-0.4562,-0.3046,-1.1109,-1.1458
Jun '18,Well1,Ag,638,13.9,605,2.788,7.23,347.4,,,0.02,125.77,1.11,,23.33,5.5,0.1411,0.2931,-1.6935,0.0447
Jun '18,Well2,Pr,598,14.9,603,3.171,7.22,347,,,0.02,91.94,0.64,,23.63,4.64,0.0258,0.1771,-1.6735,-0.0292
Jun '18,Well3,Pr,746,,,,,,,,0.02,,,,,,,,,
Jun '18,Well4,Ag,574,14.2,601,2.749,7.23,347,,,0.02,131.88,1.09,,23.1,5.82,0.1632,0.3151,-1.6933,0.0689
Jun '18,Well5,Pr,571,14.5,595,2.095,7.16,343.4,,,0.02,115.92,1.13,,22.16,6.07,0.0461,0.1977,-1.6233,-0.1231
Jun '18,Well6,Ag,600,15.1,576,2.618,7.2,329.1,,,0.02,121.74,0.88,0.91,22.04,5.94,0.0968,0.248,-1.6795,-0.0359
Jun '18,Well7,Ag,504,13.6,590,1.957,7.15,346.2,,,0.02,117.42,1.09,,20.5,5.58,0.0317,0.184,-1.6142,-0.2053
Jun '18,Well8,Pr,540,14.3,596,2.233,7.18,343.4,,,0.02,146.57,0.53,,24.42,5.33,0.1497,0.3015,-1.6494,0.0218
Jul '18,Well1,Ag,,,,,,,,,,,,,,,,,,
Jul '18,Well2,Pr,,,,,,,,,,,,,,,,,,
Jul '18,Well3,Pr,,,,,,,,,,,,,,,,,,
Jul '18,Well4,Ag,,,,,,,,,,,,,,,,,,
Jul '18,Well5,Pr,,,,,,,,,,,,,,,,,,
Jul '18,Well6,Ag,,,,,,,,,,,,,,,,,,
Jul '18,Well7,Ag,,,,,,,,,,,,,,,,,,
Jul '18,Well8,Pr,,,,,,,,,,,,,,,,,,
Aug '18,Well1,Ag,661,16.1,607,4.375,6.88,356.4,2.45,54.1492,1.6395,118.6,1.39,,24.26,5.8,-0.2048,-0.0544,-1.3195,-0.573
Aug '18,Well2,Pr,625,17.4,612,4.11,6.94,354.7,2.9519,56.8199,2.0198,124.18,1.45,,22.61,6.15,-0.1095,0.0398,-1.375,-0.4147
Aug '18,Well3,Pr,,,,,,,,,,,,,,,,,,
Aug '18,Well4,Ag,596,16.2,580,3.33,6.75,346.4,2.4131,51.5994,3.5419,143.4,1.09,,24.57,5.01,-0.2708,-0.1205,-1.2044,-0.7801
Aug '18,Well5,Pr,596,16.2,594,3.566,6.91,341.5,2.2784,52.342,0.02,109.85,1.03,,22.2,5.37,-0.2174,-0.0671,-1.3655,-0.6021
