NAME,Latitude,Longitude,Northing,Easting,Height, OffsetFromGround_m,PT_Elevation
Well1,39.104725,-96.602959,4331133.679,707270.184,329.815,-4.871,324.944
Well2,39.104933,-96.60265,4331157.553,707296.2562,329.592,-4.831,324.761
Well3,39.105116,-96.602627,4331177.869,707297.7082,331.035,-6.049,324.986
Well4,39.104847,-96.603332,4331146.412,707237.5624,329.038,-5.391,323.647
Well5,39.105058,-96.602906,4331170.782,707273.7785,329.237,-5,324.237
Well6,39.104526,-96.603358,4331110.756,707236.1849,329.197,-4.549,324.648
Well7,39.104995,-96.603525,4331162.421,707220.4276,328.280,-3.872,324.408
Well8,39.105091,-96.603082,4331174.099,707258.4727,328.823,-4.368,324.455
