Month,Well,Bank,Depth to Water,Water Temp ,Specific Conductance,Dissolved Oxygen(%),pH,Alkalinity ,Cl,SO4,NO3,Ca,K,NH4,Mg,Na
Aug,Well6,Ag,621,17.3,589,39.3,6.89,345.5,,,,,,,,
Aug,Well7,Ag,535,15.6,601,18.9,6.65,345.2,,,,,,,,
Aug,Well8,Pr,562,15.8,599,36.2,6.87,348.6,,,,,,,,
Sep,Well1,Ag,,,,,,,,,,,,,,
Sep,Well2,Pr,,,,,,,,,,,,,,
Sep,Well3,Pr,,,,,,,,,,,,,,
Sep,Well4,Ag,,,,,,,,,,,,,,
Sep,Well5,Pr,,,,,,,,,,,,,,
Sep,Well6,Ag,,,,,,,,,,,,,,
Sep,Well7,Ag,,,,,,,,,,,,,,
Sep,Well8,Pr,,,,,,,,,,,,,,
Oct,Well1,Ag,,,,,,,,,,,,,,
Oct,Well2,Pr,,,,,,,,,,,,,,
Oct,Well3,Pr,,,,,,,,,,,,,,
Oct,Well4,Ag,,,,,,,,,,,,,,
Oct,Well5,Pr,,,,,,,,,,,,,,
Oct,Well6,Ag,,,,,,,,,,,,,,
Oct,Well7,Ag,,,,,,,,,,,,,,
Oct,Well8,Pr,,,,,,,,,,,,,,
