Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,,6.95,6.92,7.1,6.92,6.84,7.08,6.88
Dec,7.1,6.97,6.91,7.08,6.87,6.85,7.1,6.84
Jan,,,,,,,,
Feb,,,,,,,,
Mar,6.99,6.98,7.03,6.64,6.88,6.72,6.55,6.79
Apr,6.59,6.75,,6.48,6.72,6.6,6.36,6.63
May,6.59,6.73,,6.45,6.63,6.65,6.37,6.64
