Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,598,663,667,666,671,681,657,676
Dec,669,662,671,664,656,673,654,669
Jan,,,,,,,,
Feb,,,,,,,,
Mar,673,663,676,677,660,651,656,668
Apr,672,662,,689,661,636,654,647
May,663,665,,662,650,632,667,657
