Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,30.2,29.7,36,24,38,26.2,27.9,46.2
Dec,31.1,33.3,34,28.7,32.1,29.9,27.3,42
Jan,,,,,,,,
Feb,,,,,,,,
Mar,26.9,29.4,31.7,25.2,28.6,27.5,29.5,29.9
Apr,26.1,27.8,,24.5,27.5,25.1,24.7,26.9
May,14.9,15.5,,13.2,15.3,13.1,12,14.2
