Month,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
Nov,389.2,323.7,347.3,335.9,355.9,353.3,329.3,361.2
Dec,362.4,338.02,339.15,336.67,338.98,333.19,336.66,339.52
Jan,379,314.6,342,346.5,337.7,346.7,331.1,343.7
Feb,325,326.2,329.4,341.4,341.3,327.8,337.8,345.5
Mar,340.3,344.4,335.9,340.3,337.2,338.3,322.8,349.1
Apr,368.3,329.8,,330.5,332.8,332.7,328,323.7
May,360.6,336.6,,349.6,350.2,330.8,341,335.1
